10771	66505
22982	208440
23185	217980
23560	69237
91734	320581
91734	320581
HUMAN00037	319554
22884	207615
105	94191
5214	56421
10531	69617
1316	23849
83592	56043
1645	83702
1645	116852
1109	83702
1109	116852
114131	83428
79861	238463
10276	56349
51806	80796
51806	494124
810	70405
79754	142688
54906	105203
2665	14569
54522	320816
HUMAN00143	50755
3601	16169
3559	16184
84991	76938
5209	170768
5588	18761
57713	353282
80760	209378
3698	MOUSE32066
22944	16588
509	11949
83860	209361
2625	14462
10659	14007
9712	98910
79746	67856
254427	227545
26019	326622
55526	209692
55176	57743
11164	53893
8872	98828
57118	227541
83643	74186
10133	71648
55388	70024
221044	68527
5264	16922
22929	109079
222389	209645
8559	67229
55691	209630
83641	MOUSE31492
441549	227526
100421372	119065974
51182	50497
79723	64707
644890	104362
55301	99035
414149	78245
10557	227522
9397	18108
221061	269233
8516	241226
80013	66960
9317	19212
389941	227580
6251	20163
8029	65969
1787	13434
7431	22352
338596	241230
9200	30963
8027	20844
653567	625286
4360	17533
221074	277468
783	12296
221078	74455
221079	75869
340895	102635496
84898	67448
10529	74103
387640	72668
8028	17354
64215	13418
23412	12238
100532731	12151
648	12151
9576	50525
5305	18718
219681	70882
22921	76467
256297	19213
256815	70909
220213	71198
56243	208618
57584	71435
219670	71233
79896	208967
57512	241263
2572	14417
54518	54519
23590	56075
10006	11308
22852	232339
10730	27377
84930	67121
91452	74159
HUMAN00670	74675
22931	19330
283078	210719
55130	74934
143098	75739
51322	225131
25805	68010
84569	67328
6840	225115
57608	240185
55149	67440
1326	26410
119180	67328
220929	240186
6935	21417
94134	75415
3799	16573
80314	13831
79741	MOUSE60033
3688	16412
8829	18186
56288	93742
HUMAN00836	71745
HUMAN00849	12916
219771	67974
219770	225152
8325	14370
57209	72720
219749	22750
9790	213895
5979	19713
55454	78752
HUMAN00929	70727
53828	108017
3185	98758
7580	232337
6387	20315
643236	319776
83937	213391
11067	213393
7570	67255
79290	258914
240	11689
93550	MOUSE50437
253725	28006
100287932	53600
8031	27057
4477	17695
195977	239029
728113	11752
5540	19065
9721	432839
83849	319508
26095	19256
2662	14560
2658	12165
5949	19661
118738	382867
653145	11752
644054	69134
83849	319508
100996758	19065
644054	69134
143162	MOUSE14122
5599	26419
58504	239027
57705	545030
474354	67580
196740	320736
170370	105511
170371	69069
118461	100504518
644168	107751
2074	319955
1103	12647
6572	20508
282966	67085
55753	MOUSE13839
8505	26430
387680	28006
56624	54447
259230	208449
29974	69865
5592	19091
23283	83410
22943	13380
4153	17195
65217	MOUSE02246
11130	52696
253430	69718
55847	52637
7321	216080
7019	21780
80114	83675
84457	70911
220965	71721
220963	66859
8030	76551
983	12534
9886	69288
219623	327766
219621	73287
84159	71371
219790	170799
22891	216049
HUMAN01306	216049
84890	211488
1959	13654
29982	641340
221037	108829
221035	28193
29119	216033
347731	216028
HUMAN01326	30045
23411	93759
26091	67345
84665	68802
220202	53404
64081	MOUSE00277
3189	432467
55680	70432
1763	327762
8034	73132
80312	MOUSE00200
55749	67500
219736	216021
79009	94213
9188	56200
26128	72320
5552	19073
9559	30930
6832	338359
80201	216019
3098	15275
6865	21337
23555	70423
50674	11925
219738	69894
1305	12817
55506	404634
84883	71361
219743	71767
56681	20224
5464	67895
64106	237362
55222	216011
1979	13688
4838	18119
27143	27355
5551	18646
140766	MOUSE01931
219793	65971
8879	20397
5092	13180
219699	107449
55315	71279
64072	MOUSE01878
414152	100302688
64115	74048
HUMAN01568	19156
9469	53374
9806	94214
HUMAN01581	69090
119504	MOUSE01358
54541	74747
HUMAN01604	56709
10367	216001
90550	215999
170392	18302
84647	69836
5033	18451
25961	67725
11319	70601
317662	105428
23234	108671
51021	66242
HUMAN01653	76670
310	11750
118490	74843
5532	19056
159195	78787
58529	59011
79933	68760
9632	218811
170384	73068
118487	66121
23053	268721
8509	17423
818	MOUSE13750
5328	18792
7414	22330
26985	55946
132	11534
23522	54169
338599	435391
HUMAN01786	MOUSE13988
7417	22334
118881	69156
84858	218820
83938	MOUSE14067
3778	16531
9231	71228
11128	218832
6229	20088
57178	328365
10105	105675
219654	71918
729238	20387
653509	20387
729262	328250
283008	328250
6441	20390
80195	66039
219348	211623
311	11744
4143	11720
143241	69496
