n1.name,n1.identifier,n2.name,n2.identifier,r.statistic_score
Birc2,11797,Fgf2,14173,0.25
Birc2,11797,Eif4e,13684,0.25
Cxcr2,12765,Setd2,235626,0.25
Rad51,19361,Trp53bp1,27223,0.43
Ddx6,13209,Pten,19211,0.25
Ddx6,13209,Hnf4a,15378,0.25
Ar,11835,Casp9,12371,0.25
Ar,11835,Ephb2,13844,0.25
Ar,11835,Mapk8,26419,0.25
Ar,11835,Vav1,22324,0.25
Ar,11835,Vav3,57257,1.0
Ar,11835,Casp3,12367,0.25
Ar,11835,Ephb1,270190,0.25
Ar,11835,Jun,16476,0.25
Map1lc3a,66734,Mtor,56717,0.25
Kras,16653,Mdk,17242,0.9
Tbx1,21380,Wnt5a,22418,0.8
Maf,17132,Nprl3,17168,0.75
Csnk1e,27373,Trp53,22059,0.5
Plk4,20873,Trp53,22059,1.0
Bax,12028,Trp53,22059,0.25
Bax,12028,Cdkn1b,12576,0.25
Bax,12028,Bcl2l11,12125,0.25
Bax,12028,Erbb2,13866,0.25
Bax,12028,Cd34,12490,0.25
Bax,12028,Cdkn1a,12575,0.25
Bax,12028,Timm8a1,30058,0.25
Bax,12028,Pik3r1,18708,0.25
Bax,12028,Casp3,12367,0.25
Bax,12028,Bcl2,12043,0.43
Bax,12028,Ephb2,13844,0.25
Bax,12028,Egfr,13649,0.25
Raf1,110157,Mapk1,26413,0.75
Aurkb,20877,Myc,17869,1.0
Nfkbia,18035,Parp1,11545,0.25
Casp9,12371,Mapk8,26419,0.25
Casp9,12371,Ephb1,270190,0.25
Casp9,12371,Jun,16476,0.25
Casp9,12371,Vav1,22324,0.25
Casp9,12371,Vav3,57257,0.25
Alk,11682,Mcl1,17210,0.25
Alk,11682,Egfr,13649,0.43
Alk,11682,Hgf,15234,0.25
Alk,11682,Mtor,56717,0.25
Alk,11682,Bcl2l11,12125,0.25
Alk,11682,Met,17295,0.25
Cdk2,12566,Cdk4,12567,0.25
Cdk2,12566,Cdk6,12571,0.25
Cdk2,12566,Trp53,22059,0.25
Cdk2,12566,Kras,16653,0.25
Cdk2,12566,Cdkn1a,12575,0.25
Sfrp2,20319,Sfrp5,54612,0.8
Cct4,12464,Rad51,19361,0.25
Cct4,12464,Parp1,11545,0.25
Smurf1,75788,Smurf2,66313,0.8
Mdm2,17246,Mmp28,118453,0.25
Mdm2,17246,Parp1,11545,0.25
Mdm2,17246,Plk4,20873,0.25
Mdm2,17246,Trp53,22059,0.43
Mdm2,17246,Plk1,18817,0.25
Brca2,12190,Parp1,11545,0.99
Cdkn1b,12576,Timm8a1,30058,0.25
Cdkn1b,12576,Trp53,22059,0.25
Cdkn1b,12576,Rb1,19645,0.25
Cdkn1b,12576,Skp2,27401,0.5
Akt1,11651,Pik3r1,18708,0.68
Akt1,11651,Bcl2,12043,0.25
Akt1,11651,Cux1,13047,0.75
Akt1,11651,Casp9,12371,0.25
Akt1,11651,Atg5,11793,0.25
Akt1,11651,Ar,11835,0.25
Akt1,11651,Map1lc3a,66734,0.25
Akt1,11651,Ephb2,13844,0.57
Akt1,11651,Vav1,22324,0.25
Akt1,11651,Mtor,56717,0.43
Akt1,11651,Mapk8,26419,0.25
Akt1,11651,Egfr,13649,1.0
Akt1,11651,Ppp2ca,19052,0.25
Akt1,11651,Vav3,57257,0.25
Akt1,11651,Jun,16476,0.25
Akt1,11651,Notch1,18128,0.75
Akt1,11651,Cip2a,224171,0.5
Akt1,11651,Casp3,12367,0.43
Akt1,11651,Parp1,11545,0.57
Bak1,12018,Egfr,13649,0.25
Bak1,12018,Ephb2,13844,0.25
Bak1,12018,Bax,12028,0.81
Bak1,12018,Pik3r1,18708,0.25
Bak1,12018,Bcl2l11,12125,0.25
Bak1,12018,Erbb2,13866,0.25
Bcl2l11,12125,Hgf,15234,0.25
Bcl2l11,12125,Egfr,13649,1.0
Bcl2l11,12125,Mtor,56717,0.25
Bcl2l11,12125,Mcl1,17210,1.0
Bcl2l11,12125,Ephb2,13844,0.25
Bcl2l11,12125,Erbb2,13866,0.43
Bcl2l11,12125,Met,17295,0.25
Bcl2l11,12125,Pik3r1,18708,0.25
Hgf,15234,Mcl1,17210,0.25
Hgf,15234,Mtor,56717,0.25
Hgf,15234,Met,17295,0.25
Creb1,12912,Mtor,56717,1.0
Bach1,12013,Maf,17132,0.5
Ak1,11636,Egfr,13649,0.25
Ak1,11636,Akt2,11652,0.25
Ak1,11636,Akt3,23797,0.25
Diablo,66593,Myc,17869,0.25
Diablo,66593,Xiap,11798,1.0
Cdc25a,12530,Chek2,50883,0.25
Cdc25a,12530,Chek1,12649,0.25
Cdc25a,12530,Trp53,22059,0.25
Cdc25a,12530,Nprl2,56032,0.25
Cdc25a,12530,Cdc25c,12532,0.25
Kit,16590,Trp53,22059,0.25
Kit,16590,Myc,17869,0.25
Fgf2,14173,Myc,17869,0.25
Mlh1,17350,Myc,17869,0.25
Birc3,11796,Fgf2,14173,0.25
Birc3,11796,Eif4e,13684,0.25
Birc3,11796,Myc,17869,0.25
Fasl,14103,Trp53,22059,0.25
Fasl,14103,Gli2,14633,0.75
Gli2,14633,Trp53,22059,0.25
Braf,109880,Mapk1,26413,0.75
Braf,109880,Casp3,12367,0.25
Esr1,13982,Mlh1,17350,0.25
Sfrp1,20377,Sfrp2,20319,0.8
Sfrp1,20377,Sfrp5,54612,0.8
Cd34,12490,Cdkn1b,12576,0.25
Cd34,12490,Trp53,22059,0.25
Cd34,12490,Cdkn1a,12575,0.25
Cd34,12490,Timm8a1,30058,0.25
